"%1 Cart Price Rules based on ""%2"" attribute have been disabled.","La règle de prix panier %1 basée sur l'attribut ""%2"" a été désactivée.",module,Magento_SalesRule
"Update product's %1 %2: %3","Mettre à jour le %1 du produit %2 : %3",module,Magento_SalesRule
"Update the Product","Mettre à jour le produit",module,Magento_SalesRule
"Usage limit enforced for logged in customers only.","Limite d'utilisation imposée uniquement aux clients connectés.",module,Magento_SalesRule
"Use Auto Generation","Utiliser la génération automatique",module,Magento_SalesRule
"Uses","Utilisations",module,Magento_SalesRule
"Uses per Coupon","Nombre d'utilisations par coupon",module,Magento_SalesRule
"Uses per Customer","Nombre d'utilisations par client",module,Magento_SalesRule
"Web Site","Site web",module,Magento_SalesRule
"Websites","Sites web",module,Magento_SalesRule
"We cannot create the requested Coupon Qty. Please check your settings and try again.","Nous ne pouvons créer la quantité de coupon demandée. Veuillez vérifier vos paramètres puis réessayez à nouveau.",module,Magento_SalesRule
"We can't delete the rule right now. Please review the log and try again.","Impossible de supprimer la règle. Veuillez consulter le journal des erreurs et essayez à nouveau.",module,Magento_SalesRule
"We can't find a rule to delete.","Impossible de trouver la règle à supprimer.",module,Magento_SalesRule
"We can't find a rule to delete.","Impossible de trouver la règle à supprimer.",module,Magento_SalesRule
"Yes","Oui",module,Magento_SalesRule
"You deleted the rule.","Règle supprimée.",module,Magento_SalesRule
"Your coupon was successfully applied","Coupon appliqué",module,Magento_SalesRule
"Your coupon was successfully removed","Coupon supprimé",module,Magento_SalesRule
"You saved the rule.","Règle sauvegardée.",module,Magento_SalesRule
