"%1 Catalog Price Rules based on ""%2"" attribute have been disabled.","La règle de prix catalogue %1 basée sur l'attribut ""%2"" a été désactivée.",custom,Imaginaerum
"Cache storage may contain additional data. Are you sure that you want flush it?","Le stockage de cache peut contenir d\'autres données. Êtes-vous sûr(e) de vouloir le purger ?",custom,Imaginaerum
"Can be Divided into Multiple Boxes for Shipping","Peut être divisé en plusieurs colis pour la livraison",custom,Imaginaerum
"Cannot add item to shopping cart","Impossible d'ajouter l'article au panier",custom,Imaginaerum
"Cannot add the item to shopping cart","Impossible d'ajouter l'article au panier.",custom,Imaginaerum
"Cannot create an invoice without products.","Impossible de créer une facture sans produits.",custom,Imaginaerum
"Cannot create credit memo for the order.","Impossible de créer un avoir pour la commande.",custom,Imaginaerum
"Cannot delete the design change.","Impossible de supprimer le changement de design.",custom,Imaginaerum
"Cannot delete tracking number.","Impossible de supprimer le numéro de suivi.",custom,Imaginaerum
"Cannot find required columns: %1","Impossible de trouver la colonne requise: %1",custom,Imaginaerum
"Cannot initialize shipment for adding tracking number.","Impossible d'initialiser l'expédition pour ajouter le numéro de suivi.",custom,Imaginaerum
"Cannot initialize shipment for delete tracking number.","Impossible d'initialiser l'expédition pour supprimer le numéro de suivi.",custom,Imaginaerum
"Cannot load track with retrieving identifier.","Impossible de charger le suivi avec l'identifiant.",custom,Imaginaerum
"Cannot save address.","Impossible de sauvegarder l'adresse.",custom,Imaginaerum
"Cannot save the credit memo.","Impossible de sauvegarder l'avoir.",custom,Imaginaerum
"Cannot save the customer.","Impossible de sauvegarder le client.",custom,Imaginaerum
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Impossible de partager les comptes clients globalement car il existe des comptes avec le même emails sur plusieurs sites web qui ne peuvent pas être fusionnés.",custom,Imaginaerum
"Cannot update the item's quantity.","Impossible de mettre à jour la quantité de l'article.",custom,Imaginaerum
"Can't delete item from wishlist","Impossible d'enlever l'article de la liste d'envies.",custom,Imaginaerum
"Capture Amount","Capturer le montant",custom,Imaginaerum
"Card type does not match credit card number.","Le type de carte ne correspond pas au numéro de carte.",custom,Imaginaerum
"Catalog Price Rules","Règles de prix catalogue",custom,Imaginaerum
"Category Feeds","Flux de la catégorie",custom,Imaginaerum
"Change Price","Changer le Prix",custom,Imaginaerum
"Checkout as a Guest","Commander en tant qu'invité",custom,Imaginaerum
"Checkout as a Guest or Register","Régler en tant qu'invité ou s'enregistrer",custom,Imaginaerum
"Checkout as Guest","Régler en tant qu'invité",custom,Imaginaerum
"Checkout Method","Mode de commande",custom,Imaginaerum
"Checkout with Multiple Addresses","Livrer à plusieurs adresses",custom,Imaginaerum
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Cochez cette case si vous souhaitez ajouter un lien vers un flux RSS vers votre liste d'envies",custom,Imaginaerum
"Choose","Choisir",custom,Imaginaerum
"Clear Persistence on Log Out","Effacer la persistance lors de la déconnexion",custom,Imaginaerum
"Click on image to zoom","Cliquez sur l'image pour zoomer",custom,Imaginaerum
"CMS Block","Bloc CMS",custom,Imaginaerum
"Column names: ""%1"" are invalid","Noms de colonne: ""%1"" invalides",custom,Imaginaerum
"Columns","Colonnes",custom,Imaginaerum
"Communications","Communications",custom,Imaginaerum
"Company is invalid","Nom de la société invalide",custom,Imaginaerum
"Company is too long.","Le nom de la société est trop long.",custom,Imaginaerum
"Conditions (leave blank for all products)","Conditions (laisser vide pour appliquer à tous les produits)",custom,Imaginaerum
"Configurable Product Settings","Paramètres produit configurable",custom,Imaginaerum
"Confirm your new password","Confirmer le nouveau mot de passe",custom,Imaginaerum
"Contact your bank or try another card","Contactez votre banque ou essayez une autre carte bancaire",custom,Imaginaerum
"Continue to Review Your Order","Poursuivre pour vérifier votre commande",custom,Imaginaerum
"Continue to Shipping Information","Poursuivre vers les informations de livraison",custom,Imaginaerum
"&copy; 2015 Magento Demo Store. All Rights Reserved.","© 2015 Magento Demo Store. Tous droits réservés.",custom,Imaginaerum
"Copy to Wish List","Copier vers la liste d'envies",custom,Imaginaerum
"Cost","Coût",custom,Imaginaerum
"Could not rebuild index for undefined product","Impossible de reconstruire l'index d'un produit non défini",custom,Imaginaerum
"Country code alpha-2 is not accepted","Code pays alpha-2 non accepté",custom,Imaginaerum
"Country code alpha-3 is not accepted","Code pays alpha-3 non accepté",custom,Imaginaerum
"Country of Manufacture","Pays de fabrication",custom,Imaginaerum
"Create account","Créer un compte",custom,Imaginaerum
"Create Empty","Créer vide",custom,Imaginaerum
"Create New Wish List","Créer une liste d'envies",custom,Imaginaerum
"Credit Card %1","Carte Bancaire %1",custom,Imaginaerum
"Credit card number does not match credit card type.","Le numéro de carte ne correspond pas au type de carte.",custom,Imaginaerum
"Credit card number mismatch with credit card type.","Le numéro de carte bancaire ne correspond pas au type de carte bancaire.",custom,Imaginaerum
"Credit Cards","Carte Bancaire",custom,Imaginaerum
"Credit card successfully updated","Carte Bancaire mise à jour",custom,Imaginaerum
"Credit card token is taken.","Carte Bancaire prise en compte",custom,Imaginaerum
"Credit memo's total must be positive.","Le total de l'avoir doit être positif",custom,Imaginaerum
"Currently Shopping by:","Filtre en cours :",custom,Imaginaerum
"Current module EAV entity is undefined","Le module d'entités EAV actuel n'est pas défini",custom,Imaginaerum
"Current module pathname is undefined","Le chemin d'accès actuel du module n'est pas défini",custom,Imaginaerum
"Customer Addresses","Adresses client",custom,Imaginaerum
"Customer address for such customer doesn't exist","L'adresse client n’existe pas",custom,Imaginaerum
"Customer email is required","L'email du client est obligatoire",custom,Imaginaerum
"Customer Groups must be specified.","Les groupes client doivent être spécifiés.",custom,Imaginaerum
"Customers Only","Clients seulement",custom,Imaginaerum
"Customer website ID must be specified when using the website scope","L'identifiant du site web du client doit être renseigné lorsque la portée du site web est utilisée.",custom,Imaginaerum
"Custom Layout Update","Mise à jour d'agencement personnalisé",custom,Imaginaerum
"Cvv Response Code","Code de réponse du pictogramme visuel",custom,Imaginaerum
"Data is invalid or file is not uploaded","Les données sont invalides ou le fichier n'a pas été uploadé",custom,Imaginaerum
"Data Transfer","Transfert de données",custom,Imaginaerum
"Date Of Birth","Date de naissance",custom,Imaginaerum
"DD","JJ",custom,Imaginaerum
"Decoding error: %1%2%3%4","Décodage de l'erreur: %1%2%3%4",custom,Imaginaerum
"Default Product Listing Sort By","Tri par défaut de la liste des produits",custom,Imaginaerum
"Default title","Titre par défaut",custom,Imaginaerum
"Default View","Vue Par Défaut",custom,Imaginaerum
"Delete Attribute Set","Supprimer le jeu d'attributs",custom,Imaginaerum
"Delete Group Price","Supprimer le prix pour le groupe",custom,Imaginaerum
"Destination directory is not writable","Le répertoire de destination n'a pas les droits en écriture",custom,Imaginaerum
"Destination file path must be a string","Le chemin du fichier de destination doit être une chaîne de caractères",custom,Imaginaerum
"Discount Codes","Codes de remises",custom,Imaginaerum
"Display Mode","Affichage",custom,Imaginaerum
"Display Settings","Paramètres d'affichage",custom,Imaginaerum
"Double click on a group to rename it","Double-cliquez sur un groupe pour le renommer",custom,Imaginaerum
"each","pièce",custom,Imaginaerum
"Easy access to your order history and status","Consultez et suivez vos commandes",custom,Imaginaerum
"Edit Customer's Address","Éditer l'adresse du client",custom,Imaginaerum
"Edit item","Éditer l'article",custom,Imaginaerum
"Edit Set Name","Éditer le nom du jeu d'attributs",custom,Imaginaerum
"Edit Your Cart","Modifiez votre panier",custom,Imaginaerum
"Elements","Éléments",custom,Imaginaerum
"Eligible","Eligible",custom,Imaginaerum
"Email Address","Adresse mail",custom,Imaginaerum
"Email Address:","Adresse mail :",custom,Imaginaerum
"Email address can't be empty.","L'adresse email ne peut pas être vide.",custom,Imaginaerum
"E-mail is invalid","Email invalide",custom,Imaginaerum
"E-mail is not specified","Email non spécifié",custom,Imaginaerum
"Email is too long.","Email trop long",custom,Imaginaerum
"Enable CAPTCHA on Frontend","Activer le CAPTCHA dans le frontend",custom,Imaginaerum
"Enabled for Frontend","Activée pour le frontend",custom,Imaginaerum
"Enable Discount to Subproducts","Activer les remises sur les sous-produits",custom,Imaginaerum
"Enable WSDL Cache","Activer le cache WSDL",custom,Imaginaerum
"End on","Fin le",custom,Imaginaerum
"Enter your code","Saisissez votre code",custom,Imaginaerum
"Enter your destination to get a shipping estimate.","Choisissez votre destination pour estimer les frais de port",custom,Imaginaerum
"Entity instance is not defined","L'instance d'entité n'est pas définie",custom,Imaginaerum
