"%1 doesn't extend MagentoCheckoutCustomerDataItemInterface","%1 n'étend pas MagentoCheckoutCustomerDataItemInterface",module,Magento_Checkout
"Shipping method has not been selected yet","Le mode de livraison n'a pas encore été choisi",module,Magento_Checkout
"Shipping method is not applicable for empty cart","La méthode d'expédition n'est pas applicable à un panier vide",module,Magento_Checkout
"Ship To:","Livré à :",module,Magento_Checkout
"Ship to different address","Livrer à une autre adresse",module,Magento_Checkout
"Ship to this address","Livrer à cette adresse",module,Magento_Checkout
"Shopping Cart","Panier",module,Magento_Checkout
"Shopping Cart Items","Produits dans le panier",module,Magento_Checkout
"Shopping Cart Sidebar","Barre latérale du panier",module,Magento_Checkout
"Some products quantities were recalculated because of quantity increment mismatch.","Certaines quantités produits ont été recalculées en raison d'une non-concordance des incréments de quantité.",module,Magento_Checkout
"Something went wrong processing your order. Please try again later.","Une erreur s'est produite lors du traitement de votre commande. Veuillez réessayer plus tard.",module,Magento_Checkout
"Something went wrong while processing your order. Please try again later.","Une erreur s'est produite lors du traitement de votre commande. Veuillez réessayer plus tard.",module,Magento_Checkout
"Sorry, guest checkout is not available.","Désolé, le passage de commande des invités n'est pas disponible.",module,Magento_Checkout
"Sorry, guest checkout is not enabled.","Les commandes invités sont désactivées.",module,Magento_Checkout
"Sorry, no quotes are available for this order at this time.","Aucun mode de livraison n'est disponible pour votre adresse.",module,Magento_Checkout
"Sorry, no quotes are available for this order at this time","Aucun mode de livraison n'est disponible pour votre adresse",module,Magento_Checkout
"State/Province","État/Province",module,Magento_Checkout
"Street Address %1","Rue - Voie - Bât. %1",module,Magento_Checkout
"Street Address","Adresse",module,Magento_Checkout
"Subtotal","Sous-total",module,Magento_Checkout
"Subtotal Excl. Tax","Sous-total HT",module,Magento_Checkout
"Subtotal Incl. Tax","Sous-total TTC",module,Magento_Checkout
"Telephone","Téléphone",module,Magento_Checkout
"Thank you for your purchase!","Merci de votre achat !",module,Magento_Checkout
"The coupon code ""%1"" is not valid.","Le code promo ""%1"" n'est pas valide.",module,Magento_Checkout
"The coupon code ""%1"" was applied.","Le code de réduction %1"" a été appliqué."".",module,Magento_Checkout
"The coupon code was canceled.","Le coupon de réduction a été annulé.",module,Magento_Checkout
"The customer address is not valid.","L'adresse du client n'est pas valide.",module,Magento_Checkout
"The onepage checkout is disabled.","Le passage de commande en une seule page est désactivé.",module,Magento_Checkout
"The product does not exist.","Le produit n'existe pas.",module,Magento_Checkout
"There are more than one shipping address.","Il existe plusieurs adresses de livraison.",module,Magento_Checkout
"There are more than one shipping addresses.","Il y a plus d'une adresse de livraison.",module,Magento_Checkout
"There is already a registered customer using this email address. Please log in using this email address or enter a different email address to register your account.","Il existe déjà un client avec cette adresse email. Veuillez vous connecter avec cette adresse email ou saisir une adresse email différente pour créer votre compte.",module,Magento_Checkout
"This quote item does not exist.","Ce commentaire d'article n'existe pas.",module,Magento_Checkout
"Total:","Total :",module,Magento_Checkout
"Total","Total",module,Magento_Checkout
"Total incl. tax","Total TTC",module,Magento_Checkout
"Totals calculation is not applicable to empty cart","Le calcul de totaux n'est pas applicable sur un panier vide",module,Magento_Checkout
"Unable to save address. Please, check input data.","Impossible de sauvegarder l'adresse. Veuillez vérifier les données saisies.",module,Magento_Checkout
"Unable to save shipping information. Please, check input data.","Impossible de sauvegarder les informations de livraison. Veuillez vérifier les données saisies.",module,Magento_Checkout
"Unable to set Payment Method","Impossible de définir une méthode de paiement",module,Magento_Checkout
"Unit Price","Prix unitaire",module,Magento_Checkout
"Unit Price Excl. Tax","Prix Unitaire HT",module,Magento_Checkout
"Unit Price Incl. Tax","Prix Unitaire TTC",module,Magento_Checkout
"Update Cart","Mettre à jour le panier",module,Magento_Checkout
"Update Shopping Cart","Mettre à jour le panier",module,Magento_Checkout
"Update Total","Mettre à jour le total",module,Magento_Checkout
"Use Billing Address","Utiliser l'adresse de facturation",module,Magento_Checkout
"VAT Number","Numéro de TVA",module,Magento_Checkout
"View and edit cart","Voir et modifier le panier",module,Magento_Checkout
"View cart","Voir le panier",module,Magento_Checkout
"View Details","Voir les détails",module,Magento_Checkout
"We adjusted product quantities to fit the required increments.","Nous avons ajusté les quantités de produits pour adapter les incréments nécessaires.",module,Magento_Checkout
"We are not able to ship to the selected shipping address. Please choose another address or edit the current address.","Impossible de livrer à l'adresse sélectionnée. Veuillez choisir une autre adresse ou modifier l'adresse choisie.",module,Magento_Checkout
"We cannot add this item to your shopping cart","Impossible d'ajouter cet article dans le panier",module,Magento_Checkout
"We cannot apply the coupon code.","Nous ne pouvons pas appliquer le code promo.",module,Magento_Checkout
"We cannot configure the product.","Nous ne pouvons pas configurer le produit.",module,Magento_Checkout
"We cannot remove the item.","Impossible de supprimer cet article.",module,Magento_Checkout
"We cannot update the item.","Impossible de mettre à jour cet article.",module,Magento_Checkout
"We cannot update the shopping cart.","Impossible de mettre à jour le panier.",module,Magento_Checkout
"We can't add this item to your shopping cart right now.","Impossible d'ajouter ce produit au panier.",module,Magento_Checkout
"We can't complete your order because you don't have a payment method available.","Impossible de terminer la commande en raison d'une méthode de paiement invalide.",module,Magento_Checkout
"We can't find the product.","Impossible de trouver le produit.",module,Magento_Checkout
"We can't find the product.","Impossible de trouver le produit.",module,Magento_Checkout
"We can't find the quote item.","Impossible de trouver le commentaire du produit.",module,Magento_Checkout
"We can't remove the item.","Impossible de supprimer l'élément.",module,Magento_Checkout
"We can't update the item right now.","Nous ne pouvons pas mettre à jour le produit.",module,Magento_Checkout
"We can't update the shopping cart.","Nous ne pouvons pas mettre à jour le panier.",module,Magento_Checkout
"We don't have as many of some products as you want.","Nous ne disposons pas de tous les produits que vous souhaitez.",module,Magento_Checkout
"We don't have some of the products you want.","Nous ne disposons pas de certains des produits que vous souhaitez.",module,Magento_Checkout
"We'll email you an order confirmation with details and tracking info.","Nous vous enverrons par email une confirmation de commande avec des détails et des informations de suivi colis.",module,Magento_Checkout
"We'll send your order confirmation here.","Nous vous enverrons votre confirmation de commande ici.",module,Magento_Checkout
