"%","%",module,Magento_ConfigurableProduct
"The configurable product does not have any variation attribute.","Le produit configurable n'a aucune variation d'attribut.",module,Magento_ConfigurableProduct
"This attribute is used in configurable products.","Cet attribut est utilisé dans les produits configurables.",module,Magento_ConfigurableProduct
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Cet attribut est utilisé dans des produits configurables. Vous ne pouvez pas le retirer de ce jeu d'attributs.",module,Magento_ConfigurableProduct
"This group contains attributes used in configurable products. Please move these attributes to another group and try again.","Ce groupe contient des attributs utilisés dans les produits configurables. Veuillez déplacer ces attributs dans un autre groupe et essayer à nouveau.",module,Magento_ConfigurableProduct
"Thumbnail","Vignette",module,Magento_ConfigurableProduct
"Upload image","Uploader l'Image",module,Magento_ConfigurableProduct
"Upload Image","Uploader l'Image",module,Magento_ConfigurableProduct
"Use Default","Utiliser la valeur par défaut",module,Magento_ConfigurableProduct
"Use To Create Configurable Product","Utiliser pour créer un produit configurable",module,Magento_ConfigurableProduct
"Value index is not specified for an option.","L'index de la valeur n'est pas spécifié pour une option.",module,Magento_ConfigurableProduct
"Variation Label","Libellé Variation",module,Magento_ConfigurableProduct
"Variations","Variations",module,Magento_ConfigurableProduct
"Visible","Visible",module,Magento_ConfigurableProduct
"We could not detect a size.","Nous ne pouvons pas déterminer le poids du fichier.",module,Magento_ConfigurableProduct
"We don't recognize or support this file extension type.","Le type de fichier n'est pas reconnu ou n'est pas autorisé.",module,Magento_ConfigurableProduct
"We don't recognize or support this file extension type.","Le type de fichier n'est pas reconnu ou n'est pas autorisé.",module,Magento_ConfigurableProduct
"Weight","Poids",module,Magento_ConfigurableProduct
"You can't add the item to shopping cart.","Vous ne pouvez pas ajouter le produit au panier.",module,Magento_ConfigurableProduct
"You need to choose options for your item.","Vous devez choisir des options pour votre produit.",module,Magento_ConfigurableProduct
